model,fold,n_train,n_test,held_out_subjects,balanced_accuracy,f1,roc_auc
dummy_prior,1,1834,188,1,0.5,0.0,0.5
dummy_prior,2,1890,132,2,0.5,0.0,0.5
dummy_prior,3,1872,150,3,0.5,0.0,0.5
dummy_prior,4,1874,148,4,0.5,0.0,0.5
dummy_prior,5,1798,224,5,0.5,0.0,0.5
dummy_prior,6,1856,166,6,0.5,0.0,0.5
dummy_prior,7,1920,102,7,0.5,0.0,0.5
dummy_prior,8,1758,264,8,0.5,0.0,0.5
dummy_prior,9,1708,314,9,0.5,0.0,0.5
dummy_prior,10,1914,108,10,0.5,0.0,0.5
dummy_prior,11,1796,226,11,0.5,0.0,0.5
logistic_regression,1,1834,188,1,0.7446808510638298,0.7525773195876289,0.7793119058397464
logistic_regression,2,1890,132,2,0.4772727272727273,0.5818181818181818,0.5192837465564738
logistic_regression,3,1872,150,3,0.54,0.4888888888888889,0.5445333333333333
logistic_regression,4,1874,148,4,0.5608108108108109,0.5112781954887218,0.5597151205259314
logistic_regression,5,1798,224,5,0.5669642857142857,0.2706766917293233,0.658561862244898
logistic_regression,6,1856,166,6,0.6807228915662651,0.7253886010362695,0.7662940920307737
logistic_regression,7,1920,102,7,0.6372549019607843,0.6262626262626263,0.6632064590542098
logistic_regression,8,1758,264,8,0.6893939393939394,0.7191780821917808,0.7641758494031222
logistic_regression,9,1708,314,9,0.7452229299363058,0.6923076923076923,0.8450241389103007
logistic_regression,10,1914,108,10,0.7962962962962963,0.7708333333333334,0.8179012345679013
logistic_regression,11,1796,226,11,0.5442477876106194,0.670926517571885,0.656276920667241
random_forest,1,1834,188,1,0.7872340425531915,0.8095238095238095,0.8696242643730197
random_forest,2,1890,132,2,0.6287878787878788,0.7065868263473054,0.7337006427915519
random_forest,3,1872,150,3,0.56,0.4406779661016949,0.6078222222222222
random_forest,4,1874,148,4,0.6756756756756757,0.7142857142857143,0.7527392257121986
random_forest,5,1798,224,5,0.6741071428571429,0.5408805031446541,0.8070790816326531
random_forest,6,1856,166,6,0.6566265060240963,0.6459627329192547,0.703295108143417
random_forest,7,1920,102,7,0.5588235294117647,0.6218487394957983,0.6270665128796616
random_forest,8,1758,264,8,0.6893939393939394,0.7453416149068323,0.757174012855831
random_forest,9,1708,314,9,0.8821656050955414,0.8810289389067524,0.9463669925757636
random_forest,10,1914,108,10,0.8148148148148149,0.7777777777777778,0.9111796982167354
random_forest,11,1796,226,11,0.6106194690265487,0.6535433070866141,0.7215130393922782
